County,Sherrill,Ciattarelli,Others
Atlantic,"51,150","47,592",652
Bergen,"190,461","152,682",1518
Burlington,"116,774","75,346",986
Camden,"130,693","60,107",1180
Cape May,"18,269","25,586",214
Cumberland,"21,348","19,272",290
Essex,"188,681","55,503",1118
Gloucester,"67,066","61,265",935
Hudson,"127,181","41,021",2122
Hunterdon,"31,663","34,683",401
Mercer,"91,713","36,156",741
Middlesex,"174,038","101,830",1992
Monmouth,"131,484","154,166",1503
Morris,"116,488","111,422",1006
Ocean,"90,323","185,957",1160
Passaic,"86,053","61,966",1081
Salem,"9,782","13,281",192
Somerset,"83,355","56,095",1037
Sussex,"26,305","38,117",429
Union,"124,470","59,646",1162
Warren,"19,199","25,980",326
