Locality,Winsome-Sears,Spanberger,Others,Total votes
Accomack,"7,129","5,925",10,"13,064"
Albemarle,"16,480","39,322",93,"55,895"
Alexandria,"10,424","52,230",190,"62,844"
Alleghany,"4,011","1,779",11,"5,801"
Amelia,"4,521","1,831",8,"6,360"
Amherst,"8,811","4,294",20,"13,125"
Appomattox,"5,609","1,765",12,"7,386"
Arlington,"15,929","83,657",235,"99,821"
Augusta,"24,612","9,522",60,"34,194"
Bath,"1,421",493,5,"1,919"
Bedford,"29,166","10,048",57,"39,271"
Bland,"1,974",441,3,"2,418"
Botetourt,"11,820","4,969",32,"16,821"
Bristol,"3,090","1,660",7,"4,757"
Brunswick,"2,591","3,338",5,"5,934"
Buchanan,"4,434",971,8,"5,413"
Buckingham,"3,586","2,456",13,"6,055"
Buena Vista,"1,392",696,9,"2,097"
Campbell,"16,878","6,130",34,"23,042"
Caroline,"6,680","6,733",23,"13,436"
Carroll,"8,889","2,433",26,"11,348"
Charles City,"1,485","2,002",5,"3,492"
Charlotte,"3,159","1,545",6,"4,710"
Charlottesville,"2,056","16,799",35,"18,890"
Chesapeake,"42,147","53,971",164,"96,282"
Chesterfield,"70,021","100,595",294,"170,910"
Clarke,"4,222","3,389",18,"7,629"
Colonial Heights,"4,092","2,474",21,"6,587"
Covington,999,678,0,"1,677"
Craig,"1,806",467,6,"2,279"
Culpeper,"12,592","9,214",33,"21,839"
Cumberland,"2,609","1,803",8,"4,420"
Danville,"4,592","7,678",29,"12,299"
Dickenson,"3,427","1,028",7,"4,462"
Dinwiddie,"7,028","5,031",19,"12,078"
Emporia,544,"1,119",3,"1,666"
Essex,"2,572","2,289",8,"4,869"
Fairfax City,"2,847","7,552",36,"10,435"
Fairfax County,"116,053","329,977",1222,"447,252"
Falls Church,"1,181","6,407",12,"7,600"
Fauquier,"19,894","14,610",62,"34,566"
Floyd,"4,806","2,603",16,"7,425"
Fluvanna,"6,718","6,712",19,"13,449"
Franklin City,"1,084","1,849",2,"2,935"
Franklin County,"16,317","6,836",36,"23,189"
Frederick,"23,130","15,809",51,"38,990"
Fredericksburg,"2,943","7,561",33,"10,537"
